Abbreviation,Year,RoundNumber,AvgFinishLast3,AvgFinishLast5,DNFRateLast5,AvgLapTime,AvgLapTimeLast3,AvgLapTimeLast5,AvgPitTime,AvgPitTimeLast3,AvgPitTimeLast5,AvgTeamFinishLast3,AvgTeamFinishLast5,TeamDNFRateLast5,AvgTeamPitTime,AvgTeamPitTimeLast3,AvgTeamPitTimeLast5,Event,GridPosition,QualiDelta,Corners,TrackLength,TotalLaps,TrackTemp,AirTemp,Rainfall,SafetyCar,VirtualSafetyCar,RedFlag,Position
PIA,2023,8,14.0,12.2,0.0,77.743,85.956,89.729,24.14,23.572,202.578,13.333,13.6,0.0,24.42,25.56,229.89,Canadian,8.0,5.491,14,3849.05,70.0,30.59,18.53,0.0,True,True,False,11.0
GAS,2023,8,8.333,10.4,0.2,77.608,85.403,89.184,25.804,24.289,198.938,8.667,7.2,0.0,24.93,23.88,163.97,Canadian,15.0,-2.972,14,3849.05,70.0,30.59,18.53,0.0,True,True,False,12.0
NOR,2023,8,14.333,11.6,0.0,77.733,85.588,89.391,24.702,26.873,265.517,13.667,12.0,0.0,24.42,25.56,229.89,Canadian,7.0,2.188,14,3849.05,70.0,30.59,18.53,0.0,True,True,False,13.0
TSU,2023,8,12.667,11.6,0.0,77.687,86.074,89.872,25.578,25.982,202.831,13.667,14.2,0.0,25.02,24.67,154.37,Canadian,19.0,-3.112,14,3849.05,70.0,30.59,18.53,0.0,True,True,False,14.0
HUL,2023,8,15.667,14.2,0.0,78.237,85.835,89.651,24.538,25.861,265.52,17.333,16.8,0.2,24.64,27.37,207.46,Canadian,5.0,1.244,14,3849.05,70.0,30.59,18.53,0.0,True,True,False,15.0
ZHO,2023,8,12.667,13.2,0.2,78.147,86.01,90.025,25.867,23.877,166.171,12.667,12.4,0.0,25.26,24.6,152.68,Canadian,20.0,-2.516,14,3849.05,70.0,30.59,18.53,0.0,True,True,False,16.0
MAG,2023,8,15.667,15.4,0.4,78.031,86.25,89.985,24.734,32.22,121.615,16.0,16.8,0.2,24.64,27.37,207.46,Canadian,13.0,-4.18,14,3849.05,70.0,30.59,18.53,0.0,True,True,False,17.0
DEV,2023,8,14.667,15.8,0.4,79.23,85.941,90.26,24.461,23.357,106.043,13.333,13.4,0.0,25.02,24.67,154.37,Canadian,17.0,-2.721,14,3849.05,70.0,30.59,18.53,0.0,True,True,False,18.0
RUS,2023,8,4.0,7.6,0.2,78.03,85.151,89.446,88.998,25.117,114.227,2.667,3.4,0.0,45.69,24.0,202.78,Canadian,4.0,2.035,14,3849.05,70.0,30.59,18.53,0.0,True,True,False,19.0
VER,2023,9,1.0,1.2,0.0,69.328,79.553,87.219,20.16,23.528,22.804,3.667,5.6,0.0,20.15,24.06,23.02,Austrian,1.0,0.0,10,3942.53,71.0,32.05,22.4,0.02,True,True,False,1.0
LEC,2023,9,7.0,6.2,0.0,69.831,80.236,87.92,20.26,23.937,22.965,6.667,6.6,0.0,22.01,24.16,23.22,Austrian,2.0,0.048,10,3942.53,71.0,32.05,22.4,0.02,True,True,False,2.0
PER,2023,9,8.667,5.8,0.0,69.801,80.188,87.627,20.125,23.998,22.877,2.667,2.6,0.0,20.15,24.06,23.02,Austrian,15.0,62.297,10,3942.53,71.0,32.05,22.4,0.02,True,True,False,3.0
NOR,2023,9,13.0,13.0,0.0,70.148,80.456,88.401,20.474,27.082,25.136,13.667,12.8,0.0,21.92,25.98,24.35,Austrian,4.0,0.267,10,3942.53,71.0,32.05,22.4,0.02,True,True,False,4.0
ALO,2023,9,3.667,3.6,0.0,70.12,79.772,87.571,20.26,65.835,48.67,6.0,8.8,0.2,20.74,44.79,36.03,Austrian,7.0,0.52,10,3942.53,71.0,32.05,22.4,0.02,True,True,False,5.0
SAI,2023,9,6.0,5.6,0.0,69.869,80.136,87.914,23.76,24.377,23.473,3.667,5.4,0.0,22.01,24.16,23.22,Austrian,3.0,0.19,10,3942.53,71.0,32.05,22.4,0.02,True,True,False,6.0
RUS,2023,9,9.0,7.8,0.2,70.464,80.38,88.08,20.604,47.34,37.05,8.333,6.4,0.2,21.31,31.81,27.68,Austrian,11.0,1.037,10,3942.53,71.0,32.05,22.4,0.02,True,True,False,7.0
HAM,2023,9,3.0,4.2,0.0,70.2,79.945,87.832,22.016,24.08,22.948,9.667,6.8,0.2,21.31,31.81,27.68,Austrian,5.0,0.428,10,3942.53,71.0,32.05,22.4,0.02,True,True,False,8.0
STR,2023,9,11.667,10.8,0.2,70.133,79.141,87.42,21.093,23.755,23.4,5.333,5.8,0.0,20.74,44.79,36.03,Austrian,6.0,0.502,10,3942.53,71.0,32.05,22.4,0.02,True,True,False,9.0
GAS,2023,9,9.667,10.2,0.0,70.421,80.355,88.218,21.833,25.406,23.878,10.0,9.0,0.0,22.76,24.79,23.43,Austrian,9.0,0.779,10,3942.53,71.0,32.05,22.4,0.02,True,True,False,10.0
ALB,2023,9,12.333,12.6,0.0,70.669,81.076,88.792,22.114,24.671,23.506,15.667,16.2,0.2,21.04,24.72,26.18,Austrian,10.0,1.432,10,3942.53,71.0,32.05,22.4,0.02,True,True,False,11.0
ZHO,2023,9,12.667,14.6,0.2,70.958,81.039,88.969,21.229,24.916,23.943,15.0,13.4,0.0,22.42,25.36,24.15,Austrian,17.0,1.427,10,3942.53,71.0,32.05,22.4,0.02,True,True,False,12.0
SAR,2023,9,19.333,18.8,0.2,71.029,82.081,89.534,19.421,32.691,83.86,12.667,14.8,0.2,21.04,24.72,26.18,Austrian,18.0,1.557,10,3942.53,71.0,32.05,22.4,0.02,True,True,False,13.0
OCO,2023,9,6.333,8.6,0.0,70.853,80.43,88.357,23.692,24.166,22.959,10.0,9.6,0.0,22.76,24.79,23.43,Austrian,12.0,1.062,10,3942.53,71.0,32.05,22.4,0.02,True,True,False,14.0
