Abbreviation,Year,RoundNumber,AvgFinishLast3,AvgFinishLast5,DNFRateLast5,AvgLapTime,AvgLapTimeLast3,AvgLapTimeLast5,AvgPitTime,AvgPitTimeLast3,AvgPitTimeLast5,AvgTeamFinishLast3,AvgTeamFinishLast5,TeamDNFRateLast5,AvgTeamPitTime,AvgTeamPitTimeLast3,AvgTeamPitTimeLast5,Event,GridPosition,QualiDelta,Corners,TrackLength,TotalLaps,TrackTemp,AirTemp,Rainfall,SafetyCar,VirtualSafetyCar,RedFlag,Position
BOT,2023,19,13.333,13.4,0.4,85.212,104.836,100.592,626.544,36.315,32.82,13.0,11.2,0.0,626.39,31.29,29.85,Mexico City,9.0,0.866,17,4045.59,71.0,45.64,25.55,0.0,True,True,True,15.0
ALO,2023,19,10.0,10.8,0.2,85.863,96.341,95.302,626.356,25.832,28.788,13.333,11.4,0.4,626.25,25.63,28.75,Mexico City,13.0,1.572,17,4045.59,71.0,45.64,25.55,0.0,True,True,True,18.0
VER,2023,20,1.0,1.8,0.0,76.2,90.431,93.634,366.957,157.015,104.94,8.333,7.2,0.2,368.42,157.41,49.79,São Paulo,1.0,0.0,15,3997.71,71.0,46.78,20.46,0.01,True,False,True,1.0
NOR,2023,20,3.333,2.8,0.0,76.251,91.096,94.097,367.91,158.58,105.715,10.0,7.0,0.2,392.65,184.93,121.54,São Paulo,6.0,1.26,15,3997.71,71.0,46.78,20.46,0.01,True,False,True,2.0
ALO,2023,20,13.333,12.6,0.4,76.499,92.048,95.083,368.734,226.592,149.094,17.0,13.8,0.6,369.09,226.43,148.95,São Paulo,4.0,0.66,15,3997.71,71.0,46.78,20.46,0.01,True,False,True,3.0
SAI,2023,20,9.0,6.8,0.2,76.562,94.469,93.877,371.031,221.866,144.06,9.0,10.0,0.4,371.03,223.07,144.69,São Paulo,7.0,1.262,15,3997.71,71.0,46.78,20.46,0.01,True,False,True,6.0
GAS,2023,20,9.667,9.0,0.0,76.115,91.857,94.964,371.577,226.552,147.186,13.0,11.4,0.2,332.79,293.12,187.01,São Paulo,15.0,-0.16,15,3997.71,71.0,46.78,20.46,0.01,True,False,True,7.0
HAM,2023,20,13.333,9.6,0.4,76.936,94.232,93.77,368.144,221.952,144.635,9.0,10.2,0.4,368.98,224.86,145.97,São Paulo,5.0,0.742,15,3997.71,71.0,46.78,20.46,0.01,True,False,True,8.0
TSU,2023,20,11.667,13.2,0.2,76.275,92.069,90.966,371.812,225.255,240.616,11.333,11.8,0.0,393.05,224.89,146.04,São Paulo,16.0,0.11,15,3997.71,71.0,46.78,20.46,0.01,True,False,True,9.0
HUL,2023,20,13.333,13.4,0.0,76.813,92.302,95.392,375.933,226.399,147.629,15.333,14.6,0.2,375.93,225.83,146.87,São Paulo,11.0,-0.18,15,3997.71,71.0,46.78,20.46,0.01,True,False,True,12.0
RUS,2023,20,5.0,7.6,0.2,77.395,91.37,94.484,369.808,225.216,145.916,5.333,8.0,0.2,368.98,224.86,145.97,São Paulo,8.0,0.863,15,3997.71,71.0,46.78,20.46,0.01,True,False,True,15.0
BOT,2023,20,11.667,14.4,0.4,77.178,92.322,100.173,487.723,226.971,153.198,14.0,12.6,0.0,488.08,226.87,150.13,São Paulo,18.0,0.228,15,3997.71,71.0,46.78,20.46,0.01,True,False,True,16.0
ZHO,2023,20,12.0,12.2,0.0,77.405,92.293,95.448,488.432,226.768,148.068,15.0,14.0,0.2,488.08,226.87,150.13,São Paulo,20.0,0.548,15,3997.71,71.0,46.78,20.46,0.01,True,False,True,17.0
VER,2023,21,1.0,1.0,0.0,97.676,86.752,88.942,24.008,269.771,172.397,8.333,6.0,0.2,25.81,270.2,117.6,Las Vegas,2.0,0.378,17,5981.34,50.0,17.99,18.05,0.0,True,True,False,1.0
LEC,2023,21,14.333,10.4,0.4,97.782,91.093,94.284,22.656,222.73,144.805,10.0,10.6,0.4,22.14,337.46,212.66,Las Vegas,1.0,0.0,17,5981.34,50.0,17.99,18.05,0.0,True,True,False,2.0
STR,2023,21,9.667,11.6,0.4,98.575,87.923,90.516,22.429,339.923,214.335,8.667,11.8,0.6,24.36,339.98,214.45,Las Vegas,19.0,1.473,17,5981.34,50.0,17.99,18.05,0.0,True,True,False,5.0
SAI,2023,21,4.333,7.8,0.2,98.71,87.222,91.915,21.882,337.837,213.232,9.333,7.0,0.2,22.14,337.46,212.66,Las Vegas,12.0,0.044,17,5981.34,50.0,17.99,18.05,0.0,True,True,False,6.0
HAM,2023,21,9.667,10.6,0.4,98.446,87.138,91.794,22.406,336.817,213.417,9.667,10.0,0.4,21.88,337.46,213.46,Las Vegas,10.0,1.111,17,5981.34,50.0,17.99,18.05,0.0,True,True,False,7.0
RUS,2023,21,8.667,7.4,0.2,98.257,87.905,90.078,21.617,338.089,213.876,10.0,7.6,0.2,21.88,337.46,213.46,Las Vegas,3.0,0.386,17,5981.34,50.0,17.99,18.05,0.0,True,True,False,8.0
ALO,2023,21,12.333,10.2,0.4,98.943,88.267,90.277,26.288,340.032,214.517,4.333,9.6,0.4,24.36,339.98,214.45,Las Vegas,9.0,0.829,17,5981.34,50.0,17.99,18.05,0.0,True,True,False,9.0
GAS,2023,21,8.0,9.2,0.0,98.765,87.783,90.094,22.344,340.035,215.142,7.0,8.4,0.0,22.09,394.03,247.41,Las Vegas,4.0,0.513,17,5981.34,50.0,17.99,18.05,0.0,True,True,False,11.0
ALB,2023,21,12.333,13.2,0.4,99.045,92.094,95.518,21.39,226.41,152.044,15.333,13.0,0.4,21.4,341.51,219.29,Las Vegas,5.0,0.597,17,5981.34,50.0,17.99,18.05,0.0,True,True,False,12.0
RIC,2023,21,11.667,12.8,0.0,99.554,87.692,92.325,22.234,353.148,220.923,11.333,11.2,0.0,21.25,346.5,218.18,Las Vegas,14.0,1.582,17,5981.34,50.0,17.99,18.05,0.0,True,True,False,14.0
ZHO,2023,21,14.667,13.2,0.2,99.679,88.608,90.713,22.172,379.955,239.685,16.0,15.0,0.4,21.83,379.84,241.67,Las Vegas,17.0,2.123,17,5981.34,50.0,17.99,18.05,0.0,True,True,False,15.0
BOT,2023,21,14.333,14.2,0.4,100.76,88.471,95.38,21.484,379.729,244.643,16.0,15.4,0.4,21.83,379.84,241.67,Las Vegas,7.0,0.799,17,5981.34,50.0,17.99,18.05,0.0,True,True,False,17.0
TSU,2023,21,9.667,11.2,0.0,100.034,87.813,90.365,20.765,339.954,214.121,12.0,11.0,0.0,21.25,346.5,218.18,Las Vegas,20.0,3.721,17,5981.34,50.0,17.99,18.05,0.0,True,True,False,18.0
HUL,2023,21,12.0,13.2,0.0,99.469,88.305,90.509,23.929,340.964,215.718,14.333,15.0,0.4,22.82,340.88,215.4,Las Vegas,13.0,1.253,17,5981.34,50.0,17.99,18.05,0.0,True,True,False,19.0
VER,2023,22,1.0,1.0,0.0,89.202,85.529,89.034,21.39,269.649,172.402,2.667,5.8,0.2,21.38,270.74,173.29,Abu Dhabi,1.0,0.0,16,5040.39,58.0,33.46,26.96,0.0,False,False,False,1.0
LEC,2023,22,8.333,10.0,0.4,89.494,94.407,93.854,21.609,220.993,142.758,9.333,7.6,0.2,21.51,336.91,212.48,Abu Dhabi,2.0,0.139,16,5040.39,58.0,33.46,26.96,0.0,False,False,False,2.0
RUS,2023,22,9.667,7.6,0.2,89.536,86.746,89.952,21.96,337.214,213.415,10.0,8.8,0.2,22.03,336.58,213.09,Abu Dhabi,4.0,0.343,16,5040.39,58.0,33.46,26.96,0.0,False,False,False,3.0
NOR,2023,22,9.0,6.4,0.2,89.573,87.387,89.413,22.836,271.937,173.403,14.667,10.8,0.2,22.11,305.89,193.88,Abu Dhabi,5.0,0.371,16,5040.39,58.0,33.46,26.96,0.0,False,False,False,5.0
ALO,2023,22,10.0,10.4,0.4,89.807,87.102,90.317,22.078,340.46,214.959,6.333,8.0,0.2,21.91,339.9,214.55,Abu Dhabi,7.0,0.639,16,5040.39,58.0,33.46,26.96,0.0,False,False,False,7.0
TSU,2023,22,13.0,12.4,0.2,90.271,87.078,90.504,21.437,338.876,213.668,15.0,13.2,0.2,21.57,345.4,217.8,Abu Dhabi,6.0,0.523,16,5040.39,58.0,33.46,26.96,0.0,False,False,False,8.0
HAM,2023,22,5.667,11.0,0.4,89.881,86.178,91.616,22.109,336.023,211.281,6.0,8.2,0.2,22.03,336.58,213.09,Abu Dhabi,11.0,0.914,16,5040.39,58.0,33.46,26.96,0.0,False,False,False,9.0
STR,2023,22,9.0,9.0,0.2,90.122,86.75,90.249,21.734,339.34,214.143,7.0,5.8,0.0,21.91,339.9,214.55,Abu Dhabi,13.0,0.977,16,5040.39,58.0,33.46,26.96,0.0,False,False,False,10.0
RIC,2023,22,11.333,13.0,0.0,90.033,86.462,95.232,21.703,352.086,220.953,13.333,12.4,0.2,21.57,345.4,217.8,Abu Dhabi,15.0,0.997,16,5040.39,58.0,33.46,26.96,0.0,False,False,False,11.0
GAS,2023,22,9.667,9.4,0.0,90.334,86.647,90.09,23.242,339.345,214.715,9.0,8.8,0.0,22.84,393.26,246.85,Abu Dhabi,10.0,1.103,16,5040.39,58.0,33.46,26.96,0.0,False,False,False,13.0
ALB,2023,22,13.333,12.4,0.2,90.231,95.603,95.164,22.094,223.866,150.332,15.667,14.8,0.4,22.07,340.51,215.02,Abu Dhabi,14.0,0.994,16,5040.39,58.0,33.46,26.96,0.0,False,False,False,14.0
HUL,2023,22,14.667,14.2,0.2,90.537,87.21,90.638,22.016,340.432,215.812,16.667,16.2,0.6,22.24,340.06,215.25,Abu Dhabi,8.0,0.663,16,5040.39,58.0,33.46,26.96,0.0,False,False,False,15.0
ZHO,2023,22,15.333,13.6,0.2,90.551,87.46,90.792,22.594,378.945,238.181,16.333,16.0,0.4,22.6,378.77,238.1,Abu Dhabi,19.0,1.714,16,5040.39,58.0,33.46,26.96,0.0,False,False,False,17.0
SAI,2023,22,5.333,7.8,0.2,90.505,86.232,91.736,21.414,337.223,211.702,3.333,7.2,0.2,21.51,336.91,212.48,Abu Dhabi,16.0,1.293,16,5040.39,58.0,33.46,26.96,0.0,False,False,False,18.0
BOT,2023,22,16.0,13.6,0.2,91.251,87.717,90.981,22.625,378.584,238.024,16.333,16.4,0.4,22.6,378.77,238.1,Abu Dhabi,18.0,1.343,16,5040.39,58.0,33.46,26.96,0.0,False,False,False,19.0
NOR,2024,6,3.333,4.8,0.0,92.13,92.909,93.743,22.052,194.023,125.758,6.0,5.4,0.0,24.82,194.08,125.77,Miami,5.0,0.353,19,5162.32,57.0,44.66,28.52,0.0,True,True,False,1.0
LEC,2024,6,3.333,3.4,0.0,92.245,93.129,93.821,21.795,540.877,334.014,4.333,3.6,0.0,22.44,280.75,177.86,Miami,2.0,0.141,19,5162.32,57.0,44.66,28.52,0.0,True,True,False,3.0
PER,2024,6,3.333,2.8,0.0,92.421,92.898,93.572,22.13,193.625,125.515,2.0,1.8,0.0,22.17,193.57,125.35,Miami,4.0,0.219,19,5162.32,57.0,44.66,28.52,0.0,True,True,False,4.0
SAI,2024,6,3.0,6.0,0.2,92.328,93.031,93.14,23.091,194.124,125.604,4.0,3.8,0.0,22.44,280.75,177.86,Miami,3.0,0.214,19,5162.32,57.0,44.66,28.52,0.0,True,True,False,5.0
TSU,2024,6,12.0,13.0,0.2,93.013,94.481,95.228,22.233,194.761,126.132,18.667,15.6,0.6,22.43,194.73,130.29,Miami,10.0,0.951,19,5162.32,57.0,44.66,28.52,0.0,True,True,False,7.0
RUS,2024,6,10.0,8.2,0.2,93.096,93.499,94.176,22.848,194.316,125.762,7.0,7.4,0.0,22.85,194.28,125.64,Miami,7.0,0.826,19,5162.32,57.0,44.66,28.52,0.0,True,True,False,8.0
ALO,2024,6,7.0,7.0,0.0,93.312,93.371,94.165,22.358,194.407,126.085,11.333,9.6,0.0,22.68,173.83,113.68,Miami,15.0,1.186,19,5162.32,57.0,44.66,28.52,0.0,True,True,False,9.0
OCO,2024,6,14.0,14.4,0.0,93.339,94.828,95.526,22.743,196.562,127.424,13.333,14.2,0.0,22.63,197.28,128.18,Miami,13.0,1.13,19,5162.32,57.0,44.66,28.52,0.0,True,True,False,10.0
HUL,2024,6,10.0,11.2,0.0,93.177,94.197,94.758,22.8,194.741,126.767,13.0,12.0,0.0,25.84,229.92,147.65,Miami,9.0,0.905,19,5162.32,57.0,44.66,28.52,0.0,True,True,False,11.0
PIA,2024,6,6.667,6.4,0.0,92.472,93.447,94.117,26.204,194.118,125.768,3.667,4.8,0.0,24.82,194.08,125.77,Miami,6.0,0.434,19,5162.32,57.0,44.66,28.52,0.0,True,True,False,13.0
ZHO,2024,6,15.667,15.2,0.2,93.556,96.236,96.221,23.025,198.716,133.512,17.333,16.2,0.4,23.17,199.47,133.42,Miami,19.0,1.583,19,5162.32,57.0,44.66,28.52,0.0,True,True,False,14.0
RIC,2024,6,16.333,15.6,0.4,93.677,93.816,93.782,22.635,34.647,30.065,14.667,14.6,0.6,22.43,194.73,130.29,Miami,20.0,1.376,19,5162.32,57.0,44.66,28.52,0.0,True,True,False,15.0
BOT,2024,6,16.0,16.8,0.2,93.465,94.889,95.527,23.24,200.043,134.772,16.0,16.0,0.4,23.17,199.47,133.42,Miami,16.0,1.222,19,5162.32,57.0,44.66,28.52,0.0,True,True,False,16.0
STR,2024,6,11.0,12.4,0.2,93.25,93.874,94.908,22.838,158.388,104.257,10.333,9.8,0.0,22.68,173.83,113.68,Miami,11.0,0.981,19,5162.32,57.0,44.66,28.52,0.0,True,True,False,17.0
ALB,2024,6,14.333,13.8,0.2,93.419,93.33,93.559,22.563,20.858,21.879,16.333,15.4,0.2,22.55,195.14,127.05,Miami,14.0,1.172,19,5162.32,57.0,44.66,28.52,0.0,True,True,False,18.0
MAG,2024,6,13.0,12.6,0.0,93.393,94.926,95.414,27.873,282.595,178.895,12.333,12.2,0.0,25.84,229.92,147.65,Miami,18.0,1.378,19,5162.32,57.0,44.66,28.52,0.0,True,True,False,19.0
SAR,2024,6,16.0,16.8,0.0,94.053,98.904,96.947,22.529,197.119,128.432,15.667,16.8,0.2,22.55,195.14,127.05,Miami,17.0,1.246,19,5162.32,57.0,44.66,28.52,0.0,True,True,False,20.0
NOR,2024,7,2.667,3.8,0.0,80.862,96.435,92.883,29.843,195.467,125.278,7.333,6.4,0.0,29.78,196.43,125.78,Emilia Romagna,2.0,0.091,19,4763.2,63.0,42.02,25.11,0.0,False,False,False,2.0
LEC,2024,7,3.667,3.2,0.0,80.953,96.714,93.002,30.232,542.411,333.56,4.333,4.2,0.0,30.35,282.43,177.52,Emilia Romagna,3.0,0.224,19,4763.2,63.0,42.02,25.11,0.0,False,False,False,3.0
PIA,2024,7,9.667,7.4,0.0,81.07,97.005,93.289,29.721,196.903,125.988,5.333,5.2,0.0,29.78,196.43,125.78,Emilia Romagna,5.0,0.074,19,4763.2,63.0,42.02,25.11,0.0,False,False,False,4.0
SAI,2024,7,4.333,3.4,0.0,81.199,96.654,93.505,30.464,195.95,125.939,3.667,4.0,0.0,30.35,282.43,177.52,Emilia Romagna,4.0,0.487,19,4763.2,63.0,42.02,25.11,0.0,False,False,False,5.0
RUS,2024,7,7.0,8.8,0.2,81.121,97.074,93.501,29.737,195.975,125.36,6.667,7.0,0.0,29.69,195.98,125.26,Emilia Romagna,6.0,0.488,19,4763.2,63.0,42.02,25.11,0.0,False,False,False,7.0
PER,2024,7,3.0,3.2,0.0,81.578,96.379,92.848,29.571,195.143,125.05,2.333,2.2,0.0,29.93,195.1,124.87,Emilia Romagna,11.0,0.96,19,4763.2,63.0,42.02,25.11,0.0,False,False,False,8.0
STR,2024,7,14.667,13.8,0.2,82.06,97.443,94.133,30.128,160.071,104.478,13.667,12.0,0.0,30.47,175.43,113.28,Emilia Romagna,13.0,1.246,19,4763.2,63.0,42.02,25.11,0.0,False,False,False,9.0
TSU,2024,7,12.0,11.6,0.2,82.433,97.949,94.342,29.763,196.172,125.651,13.667,15.6,0.6,29.95,196.23,129.84,Emilia Romagna,7.0,0.719,19,4763.2,63.0,42.02,25.11,0.0,False,False,False,10.0
HUL,2024,7,10.667,10.2,0.0,82.579,97.634,94.023,29.807,196.288,125.626,15.333,13.8,0.0,30.56,232.48,147.38,Emilia Romagna,10.0,1.234,19,4763.2,63.0,42.02,25.11,0.0,False,False,False,11.0
MAG,2024,7,16.0,14.0,0.0,82.477,98.428,94.6,31.311,285.838,179.424,13.667,13.4,0.0,30.56,232.48,147.38,Emilia Romagna,18.0,2.108,19,4763.2,63.0,42.02,25.11,0.0,False,False,False,12.0
RIC,2024,7,17.333,16.0,0.4,82.571,93.156,94.511,30.128,21.053,30.251,10.667,13.8,0.4,29.95,196.23,129.84,Emilia Romagna,9.0,0.928,19,4763.2,63.0,42.02,25.11,0.0,False,False,False,13.0
OCO,2024,7,12.0,13.0,0.0,82.81,98.308,94.631,30.67,196.741,126.991,11.667,12.4,0.0,30.46,197.86,127.4,Emilia Romagna,12.0,1.16,19,4763.2,63.0,42.02,25.11,0.0,False,False,False,14.0
ZHO,2024,7,15.333,15.8,0.2,82.759,99.764,95.45,30.2,197.117,133.104,16.667,16.4,0.4,30.24,197.07,130.47,Emilia Romagna,17.0,2.088,19,4763.2,63.0,42.02,25.11,0.0,False,False,False,15.0
SAR,2024,7,18.0,17.6,0.2,82.827,98.464,97.666,31.082,196.723,128.53,18.333,17.4,0.4,32.78,196.8,126.13,Emilia Romagna,19.0,2.605,19,4763.2,63.0,42.02,25.11,0.0,False,False,False,17.0
BOT,2024,7,16.667,16.2,0.2,82.932,98.441,94.676,30.274,196.826,129.268,15.0,15.8,0.2,30.24,197.07,130.47,Emilia Romagna,16.0,1.88,19,4763.2,63.0,42.02,25.11,0.0,False,False,False,18.0
ALO,2024,7,7.333,7.0,0.0,82.289,96.998,93.439,30.59,195.867,125.564,11.667,11.4,0.0,30.47,175.43,113.28,Emilia Romagna,20.0,2.171,19,4763.2,63.0,42.02,25.11,0.0,False,False,False,19.0
ALB,2024,7,16.667,14.4,0.2,82.078,92.845,94.197,33.201,21.168,21.973,18.333,16.8,0.2,32.78,196.8,126.13,Emilia Romagna,14.0,1.454,19,4763.2,63.0,42.02,25.11,0.0,False,False,False,20.0
LEC,2024,8,3.333,3.2,0.0,78.439,91.392,90.517,2357.749,24.746,334.932,4.333,4.2,0.0,2342.28,25.06,179.01,Monaco,1.0,0.0,19,2950.03,78.0,46.32,21.6,0.0,True,False,True,1.0
PIA,2024,8,8.333,7.4,0.0,78.524,91.727,90.776,2357.441,26.107,127.656,6.333,5.6,0.0,2361.39,25.65,127.37,Monaco,2.0,0.154,19,2950.03,78.0,46.32,21.6,0.0,True,False,True,2.0
SAI,2024,8,5.0,3.8,0.0,78.523,91.577,90.524,2326.813,25.368,127.185,3.0,3.4,0.0,2342.28,25.06,179.01,Monaco,3.0,0.248,19,2950.03,78.0,46.32,21.6,0.0,True,False,True,3.0
NOR,2024,8,1.667,2.6,0.0,78.549,91.213,90.344,2365.334,24.707,126.793,2.667,4.4,0.0,2361.39,25.65,127.37,Monaco,4.0,0.272,19,2950.03,78.0,46.32,21.6,0.0,True,False,True,4.0
RUS,2024,8,7.0,9.0,0.2,78.59,91.802,90.943,2369.483,25.047,127.106,7.0,7.2,0.0,1589.57,25.01,127.08,Monaco,5.0,0.273,19,2950.03,78.0,46.32,21.6,0.0,True,False,True,5.0
TSU,2024,8,12.0,10.6,0.2,79.975,92.788,91.778,2377.337,24.913,127.256,12.667,12.8,0.2,2381.41,25.03,127.31,Monaco,8.0,0.588,19,2950.03,78.0,46.32,21.6,0.0,True,False,True,8.0
ALB,2024,8,16.667,16.2,0.4,80.167,92.548,91.097,2381.054,26.37,23.667,19.0,18.4,0.4,1598.95,26.16,128.15,Monaco,9.0,0.678,19,2950.03,78.0,46.32,21.6,0.0,True,False,True,9.0
GAS,2024,8,13.667,14.0,0.0,80.246,92.41,92.04,2381.591,27.22,129.012,14.0,13.0,0.0,2381.59,26.53,128.99,Monaco,10.0,1.041,19,2950.03,78.0,46.32,21.6,0.0,True,False,True,10.0
ALO,2024,8,11.667,9.8,0.0,80.524,92.124,91.143,2389.249,25.283,127.234,15.0,13.8,0.0,1598.9,29.3,114.93,Monaco,14.0,1.749,19,2950.03,78.0,46.32,21.6,0.0,True,False,True,11.0
RIC,2024,8,15.333,15.4,0.4,80.569,93.05,91.539,2385.475,25.138,31.341,10.333,10.6,0.0,2381.41,25.03,127.31,Monaco,12.0,1.212,19,2950.03,78.0,46.32,21.6,0.0,True,False,True,12.0
BOT,2024,8,18.0,16.4,0.2,80.369,92.994,92.213,1209.05,25.495,130.729,16.333,16.6,0.2,1207.27,25.73,130.36,Monaco,17.0,2.242,19,2950.03,78.0,46.32,21.6,0.0,True,False,True,13.0
STR,2024,8,13.667,11.8,0.0,79.942,92.225,91.386,1203.722,32.206,105.626,13.0,13.0,0.0,1598.9,29.3,114.93,Monaco,13.0,1.293,19,2950.03,78.0,46.32,21.6,0.0,True,False,True,14.0
SAR,2024,8,18.0,17.0,0.2,80.402,93.161,94.718,1207.904,25.518,128.993,15.333,16.8,0.4,1598.95,26.16,128.15,Monaco,15.0,1.75,19,2950.03,78.0,46.32,21.6,0.0,True,False,True,15.0
ZHO,2024,8,14.333,15.2,0.2,80.92,92.697,93.005,1205.482,25.754,129.875,15.333,15.2,0.0,1207.27,25.73,130.36,Monaco,18.0,2.758,19,2950.03,78.0,46.32,21.6,0.0,True,False,True,16.0
VER,2024,9,3.0,2.2,0.0,84.629,83.808,89.446,24.208,416.87,362.718,10.667,7.4,0.2,26.65,416.72,362.66,Canadian,2.0,0.0,14,3849.05,70.0,24.57,17.8,0.27,True,False,False,1.0
NOR,2024,9,2.333,2.8,0.0,84.735,83.847,89.743,23.716,805.743,596.315,3.333,5.0,0.0,23.69,805.33,596.09,Canadian,3.0,0.021,14,3849.05,70.0,24.57,17.8,0.27,True,False,False,2.0
RUS,2024,9,6.667,6.6,0.0,84.846,84.269,90.187,25.94,807.356,597.429,6.333,6.6,0.0,25.76,547.37,441.44,Canadian,1.0,0.0,14,3849.05,70.0,24.57,17.8,0.27,True,False,False,3.0
PIA,2024,9,6.333,7.0,0.0,84.941,84.022,90.121,23.666,804.455,595.574,2.667,2.8,0.0,23.69,805.33,596.09,Canadian,4.0,0.103,14,3849.05,70.0,24.57,17.8,0.27,True,False,False,5.0
ALO,2024,9,13.0,10.4,0.0,85.557,85.375,90.761,24.116,814.066,601.488,14.667,14.0,0.0,24.4,550.68,431.13,Canadian,6.0,0.228,14,3849.05,70.0,24.57,17.8,0.27,True,False,False,6.0
STR,2024,9,13.333,13.4,0.0,86.357,85.084,90.867,24.68,418.896,342.813,10.333,11.8,0.0,24.4,550.68,431.13,Canadian,9.0,0.701,14,3849.05,70.0,24.57,17.8,0.27,True,False,False,7.0
RIC,2024,9,13.333,15.4,0.4,86.49,85.606,88.522,27.065,812.746,495.752,11.0,11.6,0.0,26.58,811.26,600.01,Canadian,5.0,0.178,14,3849.05,70.0,24.57,17.8,0.27,True,False,False,8.0
GAS,2024,9,12.667,13.4,0.0,86.519,85.328,91.46,24.92,811.487,601.548,14.333,13.8,0.2,24.69,811.56,601.13,Canadian,15.0,0.94,14,3849.05,70.0,24.57,17.8,0.27,True,False,False,9.0
OCO,2024,9,13.667,13.4,0.2,86.661,92.697,92.127,24.458,25.496,128.62,12.0,13.2,0.2,24.69,811.56,601.13,Canadian,18.0,1.435,14,3849.05,70.0,24.57,17.8,0.27,True,False,False,10.0
HUL,2024,9,13.667,12.4,0.2,86.212,92.522,91.669,24.483,25.265,127.366,17.0,16.2,0.4,26.09,26.73,149.23,Canadian,17.0,1.978,14,3849.05,70.0,24.57,17.8,0.27,True,False,False,11.0
MAG,2024,9,17.0,16.0,0.2,86.191,92.816,92.13,27.294,27.855,181.394,16.667,14.6,0.4,26.09,26.73,149.23,Canadian,14.0,0.916,14,3849.05,70.0,24.57,17.8,0.27,True,False,False,12.0
BOT,2024,9,15.667,16.2,0.2,87.006,85.589,91.725,24.83,420.855,365.96,15.667,15.6,0.0,36.14,420.23,365.75,Canadian,19.0,1.366,14,3849.05,70.0,24.57,17.8,0.27,True,False,False,13.0
TSU,2024,9,8.333,10.8,0.2,86.833,85.141,91.251,25.613,809.778,599.123,9.333,10.2,0.0,26.58,811.26,600.01,Canadian,8.0,0.414,14,3849.05,70.0,24.57,17.8,0.27,True,False,False,14.0
ZHO,2024,9,15.0,15.4,0.2,88.161,85.745,92.594,39.903,419.569,365.407,14.0,15.0,0.0,36.14,420.23,365.75,Canadian,20.0,2.292,14,3849.05,70.0,24.57,17.8,0.27,True,False,False,15.0
SAI,2024,9,4.333,4.2,0.0,88.825,84.017,89.937,25.951,793.456,589.026,3.0,3.4,0.0,30.77,798.36,643.98,Canadian,12.0,0.728,14,3849.05,70.0,24.57,17.8,0.27,True,False,False,16.0
ALB,2024,9,15.667,15.8,0.4,88.783,85.221,88.156,24.78,812.273,495.552,14.667,16.2,0.4,24.78,551.43,444.42,Canadian,10.0,0.796,14,3849.05,70.0,24.57,17.8,0.27,True,False,False,17.0
PER,2024,9,10.0,7.0,0.2,89.035,91.479,90.539,29.088,24.623,126.515,8.333,6.8,0.2,26.65,416.72,362.66,Canadian,16.0,1.326,14,3849.05,70.0,24.57,17.8,0.27,True,False,False,18.0
LEC,2024,9,2.333,3.0,0.0,90.829,83.879,89.907,35.584,803.259,803.043,6.667,5.6,0.2,30.77,798.36,643.98,Canadian,11.0,0.691,14,3849.05,70.0,24.57,17.8,0.27,True,False,False,19.0
VER,2024,10,2.667,2.2,0.0,79.574,81.29,87.166,21.987,417.523,259.443,12.333,10.2,0.4,21.79,418.22,259.82,Spanish,2.0,0.02,14,4317.01,66.0,41.1,24.13,0.01,False,False,False,1.0
NOR,2024,10,2.667,2.2,0.0,79.597,81.382,87.384,22.035,806.297,492.634,3.667,3.4,0.0,22.18,804.95,492.4,Spanish,1.0,0.0,14,4317.01,66.0,41.1,24.13,0.01,False,False,False,2.0
RUS,2024,10,5.0,5.8,0.0,79.847,81.519,87.768,23.849,808.387,494.113,3.333,4.4,0.0,22.74,548.34,338.07,Spanish,4.0,0.32,14,4317.01,66.0,41.1,24.13,0.01,False,False,False,4.0
LEC,2024,10,7.667,6.0,0.2,79.876,83.407,88.689,21.932,807.855,493.514,12.667,8.8,0.4,22.08,801.13,489.64,Spanish,5.0,0.348,14,4317.01,66.0,41.1,24.13,0.01,False,False,False,5.0
SAI,2024,10,8.0,6.8,0.2,79.97,82.849,88.416,22.222,794.409,485.774,13.333,8.8,0.4,22.08,801.13,489.64,Spanish,6.0,0.353,14,4317.01,66.0,41.1,24.13,0.01,False,False,False,6.0
PIA,2024,10,3.667,6.4,0.0,79.981,81.512,87.729,22.328,803.609,491.885,3.0,3.0,0.0,22.18,804.95,492.4,Spanish,9.0,0.628,14,4317.01,66.0,41.1,24.13,0.01,False,False,False,7.0
PER,2024,10,14.667,10.2,0.4,80.073,87.678,91.95,21.659,26.93,128.818,6.667,8.8,0.4,21.79,418.22,259.82,Spanish,11.0,0.678,14,4317.01,66.0,41.1,24.13,0.01,False,False,False,8.0
GAS,2024,10,11.667,12.0,0.0,80.399,83.066,88.799,23.858,812.286,497.634,12.0,12.4,0.2,22.89,812.25,497.18,Spanish,7.0,0.474,14,4317.01,66.0,41.1,24.13,0.01,False,False,False,9.0
OCO,2024,10,13.667,12.4,0.2,80.597,87.604,92.879,21.931,25.957,129.07,9.333,11.0,0.2,22.89,812.25,497.18,Spanish,8.0,0.742,14,4317.01,66.0,41.1,24.13,0.01,False,False,False,10.0
